subject,topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,source_reference
Fundamental of Nursing Sciences,WHO Hand Hygiene,easy,"According to WHO, which action is the single most effective measure to prevent healthcare-associated infections?",Wearing gloves continuously,Hand hygiene,Routine antibiotics for all patients,Isolating every patient,B,"WHO identifies hand hygiene as the single most effective, evidence-based action to reduce transmission of healthcare-associated infections. Wearing gloves continuously (A) does not replace hand hygiene and can spread organisms if gloves are not changed, routine antibiotics (C) drive resistance rather than prevent spread, and isolating every patient (D) is neither feasible nor the primary measure.",WHO Five Moments for Hand Hygiene
Fundamental of Nursing Sciences,Vital Signs,easy,Which set correctly lists the four classic vital signs?,"Temperature, pulse, respiration, blood pressure","Height, weight, body mass index, waist size","Blood glucose, oxygen, sodium, potassium","Pain, mood, sleep, appetite",A,"The four classic vital signs are temperature, pulse (heart rate), respiration, and blood pressure. Anthropometric measures such as height and weight (B) describe body size, blood glucose and electrolytes (C) are laboratory values, and pain, mood, sleep, and appetite (D) are useful assessments but are not the classic vital signs.",Svaeng-Yul practice set
Fundamental of Nursing Sciences,Basic Care,easy,Regularly repositioning a bedbound patient is done mainly to prevent:,Pressure injuries,Fever,Low blood sugar,Hearing loss,A,"Repositioning relieves sustained pressure over bony areas, restoring blood flow to the skin and helping prevent pressure injuries (bedsores). Fever (B) is driven by infection or inflammation, low blood sugar (C) relates to nutrition and medication, and hearing loss (D) is unrelated to positioning, so none of these is the main reason for turning a patient.",Svaeng-Yul practice set
Fundamental of Nursing Sciences,Five Moments,medium,"In WHO's 'My Five Moments for Hand Hygiene', the moment 'before touching a patient' exists primarily to protect:",The patient from organisms carried on the worker's hands,The worker from the patient,The hospital laundry,Visitors in the waiting room,A,"Moment 1, before touching a patient, protects the patient from harmful organisms carried on the health worker's hands, so it is patient-directed. Protecting the worker (B) is the aim of moments performed after contact or after touching surroundings, while the laundry (C) and waiting-room visitors (D) are not the focus of this specific moment.",WHO Five Moments for Hand Hygiene
Fundamental of Nursing Sciences,Five Moments,medium,Hand hygiene 'before a clean or aseptic procedure' (Moment 2) is performed mainly to:,Protect the patient from organisms entering their body during the procedure,Clean the worker's hands only after the procedure,Replace the need for sterile equipment,Serve as a way to document the procedure,A,"Moment 2 is performed immediately before a clean or aseptic task to protect the patient from organisms — including their own — entering a normally sterile site. It is done before, not only after (B); hand hygiene complements but never replaces sterile equipment (C); and it is a safety action, not a documentation step (D).",WHO Five Moments for Hand Hygiene
Fundamental of Nursing Sciences,Patient Safety,medium,"Before giving a medication, the safest first step to confirm you have the right patient is to:",Ask the patient in the next bed,Use at least two approved patient identifiers,Rely on the bed number alone,Match by the patient's appearance only,B,"Using at least two approved identifiers (for example, full name plus date of birth or a hospital ID number) is the standard safe practice to confirm identity before any intervention. Asking a neighbouring patient (A) is unreliable, the bed number alone (C) fails if patients move, and matching by appearance (D) is error-prone, so each increases the risk of a wrong-patient error.",WHO Five Moments for Hand Hygiene
Fundamental of Nursing Sciences,Infection Prevention,medium,'Standard precautions' in infection prevention are best described as measures applied:,Only to patients with a confirmed infection,To all patients regardless of known infection status,Only inside operating theatres,Only during declared outbreaks,B,"Standard precautions are applied to every patient at all times, treating all blood and body fluids as potentially infectious, because infection status is often unknown. Restricting them to confirmed infections (A), to theatres (C), or to outbreaks (D) would leave many real exposures unprotected, which is exactly what the universal 'standard' approach is designed to avoid.",WHO Five Moments for Hand Hygiene
Fundamental of Nursing Sciences,Clinical Documentation,hard,A nurse records a patient's worsening vital signs. The most appropriate next action is to:,Wait until the end of the shift to mention it,Document the findings and escalate to the responsible clinician promptly,Erase the previous readings,Only mention it informally to another nurse,B,"Accurate documentation paired with prompt escalation to the responsible clinician allows timely review and intervention for a deteriorating patient. Waiting until shift end (A) risks dangerous delay, erasing prior readings (C) destroys the record and the trend, and an informal mention to a colleague (D) does not ensure the decision-maker is alerted.",Svaeng-Yul practice set
Fundamental of Nursing Sciences,Resource-Constrained Care,hard,"On a ward where alcohol-based handrub is temporarily unavailable, the most appropriate hand-hygiene action is to:",Skip hand hygiene until supplies return,Wash hands with soap and clean running water,Wipe hands on a clean gown,Keep the same gloves on between patients,B,"When handrub is unavailable, washing with soap and clean running water is the appropriate alternative, and is in fact required whenever hands are visibly soiled. Skipping hand hygiene (A) directly endangers patients, wiping on a gown (C) does not remove organisms, and reusing gloves between patients (D) actively transfers organisms — all unsafe substitutes for proper handwashing.",WHO Five Moments for Hand Hygiene
Fundamental of Nursing Sciences,Nursing Education History,hard,Which statement best reflects the development of formal nursing education in Cambodia after 1979?,It continued without any interruption throughout the 1970s,It had to be substantially rebuilt because training had been severely disrupted,It was never formally organized at any point,It was fully replaced by overseas training only,B,"After the severe disruption of the 1975–1979 period, formal health-worker training in Cambodia — including nursing — had to be substantially rebuilt from a very weakened base. Saying training continued uninterrupted (A) contradicts the historical record, that it was never organized (C) ignores both earlier and later programs, and that it relied only on overseas training (D) overlooks the domestic rebuilding effort.",University of Puthisastra (Cambodia)
History,School for Medical Officers,easy,Cambodia's early formal training for medical officers is commonly dated to the founding of the School for Medical Officers in:,1906,1946,1979,2002,B,"The School for Medical Officers is commonly cited as established in 1946, marking early formal medical training in Cambodia. 1979 (C) marks the end of the Khmer Rouge period rather than a founding, 2002 (D) is far too late for these origins, and 1906 (A) predates the commonly cited date. Exact founding dates should be confirmed with course materials.",History of medical education in Cambodia
History,Workforce Survival,easy,Which phrase best describes the impact of the 1975–1979 period on Cambodia's trained medical workforce?,"Minor, temporary staffing shortages","Near-total loss of the professional medical workforce, with fewer than 50 trained doctors often cited as surviving",Rapid expansion of the medical workforce,No measurable effect on the number of doctors,B,"Historical accounts describe a near-total collapse of Cambodia's professional medical workforce during 1975–1979, with fewer than 50 trained doctors often cited as surviving. Describing it as minor (A) or having no effect (D) contradicts the historical record, and 'rapid expansion' (C) is the opposite of what occurred. The stem uses a qualitative range rather than forcing a disputed exact number.",History of medical education in Cambodia
History,Medical Education Rebuilding,easy,Formal medical training in Cambodia began to be re-established starting around which year?,1953,1980,1995,2010,B,"Rebuilding of formal medical training is commonly dated to around 1980, soon after the end of the 1975–1979 period, from a severely weakened base. 1953 (A) relates to earlier institutional history, while 1995 (C) and 2010 (D) are too late for the initial reopening. Exact dates should be confirmed against course notes.",History of medical education in Cambodia
History,Institutional Origins,medium,The progression of Cambodian medical institutions is commonly described as moving from a School for Medical Officers toward a Royal School of Medicine in the:,1850s,1950s,1990s,2010s,B,"Following the School for Medical Officers, the Royal School of Medicine is commonly dated to the early 1950s (around 1953), reflecting growing formalization of training. The 1850s (A) predate these institutions, while the 1990s (C) or 2010s (D) come long after this step. Specific years should be verified with course materials.",History of medical education in Cambodia
History,Institutional Origins,medium,The establishment of a Faculty of Medicine and Pharmacy in Cambodia is commonly dated to the:,1920s,early 1960s,late 1980s,2000s,B,"A Faculty of Medicine and Pharmacy is commonly dated to the early 1960s (around 1962), continuing the formalization of higher medical education before the disruption of the 1970s. The 1920s (A) are far too early, while the late 1980s (C) and 2000s (D) fall after the rebuilding period began. Confirm exact years with course notes.",History of medical education in Cambodia
History,Sala Krahom,medium,"In discussions of early Cambodian medical training, 'Sala Krahom' is best understood as:",A modern teaching hospital opened in 2010,A building (the 'Red Building') associated with early medical training,A national vaccination campaign,A type of traditional medicine,B,"'Sala Krahom' translates as 'Red Building' and is associated with early medical-training premises in Cambodia, so it is a place reference. It is not a modern hospital opened in 2010 (A), a vaccination campaign (C), or a category of traditional medicine (D). Exact historical details should be verified with course materials.",History of medical education in Cambodia
History,Nursing Rebuilding,medium,"After 1979, rebuilding Cambodia's health workforce required strong attention to nursing because:",Nurses become unnecessary once doctors are trained,Nursing capacity had also been severely depleted and is essential to delivering care,Nursing is unrelated to hospital services,Only overseas nurses were permitted to work,B,"Rebuilding emphasized nursing because nursing capacity had also been severely depleted, and nurses are essential to delivering everyday clinical care alongside doctors. Claiming nurses are unnecessary (A) or unrelated to hospital services (C) misunderstands their central role, and restricting work to overseas nurses (D) does not reflect the domestic rebuilding effort.",History of medical education in Cambodia
History,Modern MD Curriculum,hard,"The modern Cambodian medical doctor (MD) pathway is commonly described as a long, multi-year program lasting approximately:",2 years,4 years,8 years,12 years,C,"The modern MD pathway in Cambodia is commonly described as roughly an 8-year program, reflecting pre-clinical study, clinical training, and required internship and thesis components. A 2-year (A) or 4-year (B) program is far too short for a full medical degree with clinical training, while 12 years (D) overstates the typical length. The current structure should be verified with the university.",University of Health Sciences (Cambodia)
History,BMedSc Pathway,hard,"Within the modern Cambodian medical pathway, the Bachelor of Medical Science (BMedSc) is commonly described as a degree awarded:",Before any university study begins,"After roughly the first six years, with internship and a thesis still required for the full MD",Only to nursing students,Instead of ever completing the MD,B,"The BMedSc is commonly described as a milestone awarded after roughly the first six years of study, with an internship and thesis still required before the full MD is conferred. It is not granted before university begins (A), is not a nursing-only award (C), and does not replace the MD (D) — it is a step within the longer pathway. Confirm specifics with the university.",University of Health Sciences (Cambodia)
History,UHS Development,hard,"Taken together, the milestones of Cambodian medical education (1946 school, 1950s–60s expansion, 1975–79 disruption, post-1980 rebuilding, later UHS formalization) best illustrate:","Uninterrupted, steady growth with no setbacks","A pattern of early growth, severe disruption, and determined rebuilding",A system created entirely after the year 2000,A purely foreign-run training system,B,"The sequence illustrates early institutional growth, a severe disruption in 1975–1979, and determined rebuilding that led to today's University of Health Sciences. Describing it as uninterrupted growth (A) ignores the disruption, 'created entirely after 2000' (C) ignores the earlier institutions, and 'purely foreign-run' (D) overlooks the strong domestic rebuilding effort.",History of medical education in Cambodia
Infection Disease Agents,Dengue Vector,easy,Dengue is caused by the dengue virus and is transmitted to humans mainly by:,Anopheles mosquitoes,Aedes mosquitoes,Houseflies,Freshwater snails,B,"Dengue virus is transmitted mainly by Aedes mosquitoes (notably Aedes aegypti), which bite during the day. Anopheles mosquitoes (A) transmit malaria, not dengue; houseflies (C) are linked to faecal–oral spread of other pathogens; and freshwater snails (D) are intermediate hosts for flukes, not dengue vectors.",Standard microbiology
Infection Disease Agents,Malaria Agent,easy,Malaria in humans is caused by which type of organism?,A virus,A bacterium,A Plasmodium parasite,A fungus,C,"Malaria is caused by single-celled Plasmodium parasites (protozoa), transmitted by Anopheles mosquitoes. It is not a virus (A) like dengue, not a bacterium (B) like the agent of tuberculosis, and not a fungus (D). Correctly classifying the agent is essential to understanding transmission and prevention.",Standard microbiology
Infection Disease Agents,Tuberculosis Agent,easy,Tuberculosis is caused by Mycobacterium tuberculosis and most commonly spreads through:,Mosquito bites,Airborne respiratory droplets,Eating contaminated freshwater fish,Insect-contaminated soil,B,"Tuberculosis spreads mainly through airborne droplet nuclei released when a person with active pulmonary disease coughs, sneezes, or speaks. Mosquito bites (A) transmit malaria and dengue, undercooked fish (C) transmits liver flukes, and contaminated soil (D) is not the primary route — none of which is how tuberculosis chiefly spreads.",Standard microbiology
Infection Disease Agents,HIV Basics,medium,HIV primarily damages the body by attacking which part of the immune system?,Red blood cells,CD4 (helper) T-lymphocytes,Platelets,Bone density,B,"HIV preferentially infects and destroys CD4 (helper) T-lymphocytes, progressively weakening cell-mediated immunity and increasing vulnerability to opportunistic infections. It does not primarily target red blood cells (A) or platelets (C), and bone density (D) is unrelated to the core mechanism of immune damage in HIV.",Standard microbiology
Infection Disease Agents,Schistosoma Mekongi,medium,"Schistosoma mekongi, relevant to the Mekong region, requires which intermediate host to complete its life cycle?",A freshwater snail (Neotricula aperta),A cyprinid (carp-family) fish,A female Anopheles mosquito,A housefly,A,"Schistosoma mekongi uses the freshwater snail Neotricula aperta as its intermediate host, releasing infective larvae into water. A cyprinid fish (B) is the source for the liver fluke Opisthorchis viverrini, not schistosomes; Anopheles mosquitoes (C) transmit malaria; and houseflies (D) are not intermediate hosts for this fluke.",Schistosoma mekongi epidemiology
Infection Disease Agents,Opisthorchis Viverrini,medium,Humans most commonly acquire Opisthorchis viverrini (the Southeast Asian liver fluke) by:,A mosquito bite,Eating raw or undercooked freshwater fish,Inhaling airborne droplets,Walking barefoot on dry soil,B,"Opisthorchis viverrini is acquired by eating raw or undercooked freshwater cyprinid fish containing infective larvae, which then mature in the bile ducts. It is not mosquito-borne (A) like malaria or dengue, not airborne (C) like tuberculosis, and not acquired from dry soil (D); the key is the dietary, fish-borne route.",Opisthorchis viverrini life cycle
Infection Disease Agents,Gastrointestinal Parasites,medium,A patient's illness is linked to a habit of eating raw freshwater fish. Which agent is the most fitting consideration?,Schistosoma mekongi,Opisthorchis viverrini,Plasmodium falciparum,Dengue virus,B,"Eating raw or undercooked freshwater fish points to Opisthorchis viverrini, the liver fluke acquired by that dietary route. Schistosoma mekongi (A) is acquired through water contact via a snail host rather than by eating fish, Plasmodium (C) is mosquito-borne malaria, and dengue (D) is a mosquito-borne virus, so none fits a fish-borne exposure.",Opisthorchis viverrini life cycle
Infection Disease Agents,Vector Distinction,hard,Which agent-and-vector pairing is correct?,Dengue virus — Anopheles mosquito,Plasmodium — Aedes mosquito,Plasmodium — Anopheles mosquito,Mycobacterium tuberculosis — freshwater snail,C,"Plasmodium parasites are transmitted by Anopheles mosquitoes, making C correct. Dengue is carried by Aedes (so A is wrong because it names Anopheles), Plasmodium is not carried by Aedes (so B is wrong), and tuberculosis spreads by airborne droplets rather than snails (so D is wrong). Matching each agent to its true vector prevents common exam errors.",Standard microbiology
Infection Disease Agents,Malaria Resistance,hard,"In the Greater Mekong Subregion, the term 'artemisinin partial resistance' refers to reduced responsiveness of which organism to artemisinin-based treatment?",Dengue virus,Plasmodium falciparum,Mycobacterium tuberculosis,HIV,B,"Artemisinin partial resistance describes delayed clearance of Plasmodium falciparum — the malaria parasite — in response to artemisinin-based therapy, a major concern in the Mekong region. Dengue virus (A) and HIV (D) are viruses not treated with artemisinins, and tuberculosis (C) is a bacterial infection treated with different drugs, so artemisinin resistance does not apply to them.","Artemisinin resistance, Greater Mekong Subregion"
Infection Disease Agents,PfKelch13 Mutation,hard,Mutations in the PfKelch13 gene (such as C580Y) are used mainly as a molecular marker of:,Dengue severity,Artemisinin partial resistance in Plasmodium falciparum,Tuberculosis drug susceptibility,HIV viral load,B,"PfKelch13 mutations, including C580Y, are validated molecular markers of artemisinin partial resistance in Plasmodium falciparum and are tracked in Mekong-region surveillance. They are specific to the malaria parasite, not a marker of dengue severity (A), tuberculosis drug susceptibility (C), or HIV viral load (D), each of which is monitored by entirely different tests.","Artemisinin resistance, Greater Mekong Subregion"
Embryology,Fertilization,easy,"In humans, fertilization most commonly occurs in the:",Uterus,Ovary,Uterine (fallopian) tube,Cervix,C,"Fertilization usually takes place in the ampulla of the uterine (fallopian) tube, where sperm meets the secondary oocyte. The uterus (A) is where the blastocyst later implants, the ovary (B) is where the oocyte is released, and the cervix (D) is the lower opening of the uterus — none is the usual site of sperm–egg fusion.",Standard human embryology
Embryology,Cleavage,easy,The solid ball of cells produced by the early cleavage divisions of the zygote is called the:,Morula,Blastocyst,Gastrula,Neural tube,A,"Repeated cleavage divisions of the zygote produce a solid ball of cells called the morula. The blastocyst (B) forms later when a fluid-filled cavity develops, the gastrula (C) refers to the stage of germ-layer formation, and the neural tube (D) is a much later ectodermal structure — so only the morula describes this early solid cluster.",Standard human embryology
Embryology,Germ Layers,easy,Which of the following is one of the three primary germ layers?,Periderm,Mesoderm,Myometrium,Trophoblast,B,"The three primary germ layers are ectoderm, mesoderm, and endoderm, so mesoderm is correct. 'Periderm' (A) is not one of the three layers, the myometrium (C) is the muscular wall of the uterus, and the trophoblast (D) contributes to the placenta rather than being one of the embryonic germ layers.",Standard human embryology
Embryology,Blastocyst,medium,The blastocyst has an outer cell layer and an inner cell mass. The inner cell mass mainly gives rise to:,The placenta only,The embryo proper,The uterine lining,The mother's blood vessels,B,"The inner cell mass (embryoblast) gives rise to the embryo proper, while the outer trophoblast contributes to the placenta. So 'placenta only' (A) actually describes the trophoblast, the uterine lining (C) is maternal endometrium, and maternal blood vessels (D) are the mother's tissue — none of which is the fate of the inner cell mass.",Standard human embryology
Embryology,Implantation,medium,"Around the end of the first week, the blastocyst normally begins to implant into the:",Endometrium of the uterus,Muscular myometrium,Cervical canal,Wall of the fallopian tube,A,"Normal implantation occurs in the endometrium, the inner lining of the uterus, which is prepared to receive the blastocyst. The myometrium (B) is the deeper muscle layer, the cervical canal (C) is the lower outlet, and implantation in the fallopian tube wall (D) would be an abnormal (ectopic) site — so the endometrium is the correct normal location.",Standard human embryology
Embryology,Gametogenesis,medium,Gametogenesis differs from ordinary body-cell division because it uses meiosis to produce cells that are:,Genetically identical to the parent cell,Haploid (carrying half the chromosome number),Polyploid (carrying extra chromosome sets),Completely without any chromosomes,B,"Gametogenesis uses meiosis to produce haploid gametes carrying half the chromosome number, so that fertilization restores the normal diploid count. Genetically identical cells (A) result from mitosis, polyploid cells (C) carry abnormal extra sets, and gametes are not without chromosomes (D) — each carries a single set.",Standard human embryology
Embryology,Neurulation,medium,"During neurulation, the neural tube — the future brain and spinal cord — forms from which germ layer?",Endoderm,Mesoderm,Ectoderm,Trophoblast,C,"The neural tube forms from ectoderm, which also gives rise to the epidermis. Endoderm (A) forms the gut lining and associated organs, mesoderm (B) forms muscle, bone, and the circulatory system, and the trophoblast (D) is placental tissue — so only ectoderm gives rise to the nervous system.",Standard human embryology
Embryology,Bilaminar Disc,hard,"By the end of the second week, the embryo is described as a 'bilaminar disc'. This means it consists of:",A single uniform layer of cells,Two layers — epiblast and hypoblast,Three established germ layers,A hollow ball with no layers,B,"At the end of week two the embryonic disc is bilaminar, composed of two layers — epiblast and hypoblast. A single uniform layer (A) precedes this stage, three established germ layers (C) appear later during gastrulation (a trilaminar disc), and a hollow ball with no layers (D) describes the earlier blastocyst — so 'two layers' is the defining feature here.",Standard human embryology
Embryology,Gastrulation,hard,Gastrulation is a critical developmental step primarily because it:,Marks the moment of fertilization,Establishes the three primary germ layers that form all tissues,Completes formation of the placenta,Triggers the onset of labour,B,"Gastrulation transforms the bilaminar disc into a trilaminar disc, establishing ectoderm, mesoderm, and endoderm — the three germ layers from which all later tissues and organs arise. It is not fertilization (A), which occurs much earlier, nor placental completion (C) or the onset of labour (D), which are unrelated events; its significance is germ-layer formation.",Standard human embryology
Embryology,Teratogen Timing,hard,Exposure to a teratogen is generally most likely to cause major structural birth defects during which period?,Before fertilization,"The embryonic period (roughly weeks 3–8), when organs are forming",Only in the final week before birth,Only after birth,B,"The embryonic period (roughly weeks 3–8) is the time of organogenesis, when developing structures are most sensitive to teratogens, so major structural defects are most likely then. Before fertilization (A) there is no embryo to affect, while the final week before birth (C) and after birth (D) fall well past the main organ-forming window and carry lower risk for major structural anomalies.",Standard human embryology
